#AC_NUM,ACID,TRACK_CNT,ST_TIME,END_TIME,ORIG_TRACK_CNT,ORIG_ST_TIME,ORIG_END_TIME,TRACK_QSTAT,MAX_X,MIN_X,MAX_Y,MIN_Y,MAX_Z,MIN_Z,AC_EQUIP,AC_TYPE,DEST_FIX,FLIGHT_TYPE,ORIGIN_FIX,PRM_ID,GAP_VALUE,MAX_X_SMO,MIN_X_SMO,MAX_Y_SMO,MIN_Y_SMO,MAX_Z_SMO,MIN_Z_SMO,TOD_TIME,TOC_TIME,TOC_ALT,END_CENTER,START_CENTER,END_CENTER_TIME,START_CENTER_TIME
1846,COM401_522,237,83860,86220,195,83856,86220,0,295.933,143,604.6,400.267,34000,6966,L,CRJ1,DTW,DEP,ORF,-1,0,295.27,143.95,603.883,401.148,34000,7593,86020,85910,34000,n/a,ZDC,85620,83940
1847,COM401_943,145,460,1900,122,452,1904,0,190.367,69.733,525.834,451.6,30000,26466,L,CRJ1,DTW,DEP,ORF,-1,0,189.758,70.204,525.004,452.037,30000,26560,-1,880,30000,n/a,ZDC,1290,460
1848,COM412_471,276,38900,41650,229,38892,41652,0,387.417,173.666,603.934,347.631,33000,7300,L,CRJ7,LGA,DEP,RDU,-1,0,386.804,173.981,603.342,348.105,33000,7653,-1,40040,33000,n/a,ZDC,41310,38970
1849,COM416_053,287,42170,45030,239,42168,45036,0,383.652,171.931,600.302,340.8,33000,4050,L,CRJ7,LGA,DEP,RDU,-1,0,383.193,172.059,599.917,341.131,33000,4360,-1,43310,33000,n/a,ZDC,44760,42170
1850,COM418_470,310,61120,64210,254,61116,64212,0,404.467,169.233,623.967,350.467,31000,5616,L,CRJ7,LGA,DEP,RDU,-1,0,404.213,169.595,623.343,350.955,31000,5761,62580,62140,31000,n/a,ZDC,63610,61120
1851,COM428_913,229,67680,69960,187,67680,69960,0,293.583,57.6,591.6,518.8,38000,30200,L,CRJ7,CVG,OVR,LGA,-1,0,293.042,58.85,591.242,518.95,38000,30308,69450,68510,38000,n/a,ZNY,69360,67710
1852,COM430_371,326,80940,84190,265,80940,84192,0,404.817,181,623.3,335.1,33000,4750,L,CRJ7,LGA,DEP,RDU,-1,0,404.471,181.683,622.837,335.625,33000,4991,82670,81340,15000,n/a,ZDC,83590,80960
1853,COM430_696,188,1940,3810,156,1940,3812,0,404.75,268,624.001,458.8,33000,4016,L,CRJ7,LGA,DEP,RDU,-1,0,404.491,268.917,623.484,459.775,33000,4112,2670,-1,99900,n/a,ZDC,3210,1940
1854,COM444_846,413,59130,63250,343,59124,63252,0,411.766,89.85,588.583,307.347,29000,10700,L,CRJ1,JFK,OVR,CLT,-1,0,411.176,90.283,588.015,308.277,29000,10889,-1,60480,29000,n/a,ZTL,62650,59380
1855,COM446_455,185,44280,46120,155,44280,46128,0,244.701,50.4,500.6,448.1,29000,2600,L,CRJ1,RIC,ARR,CVG,-1,0,244.166,51.992,500.484,448.205,28999,2600,44670,44640,29000,n/a,ZID,45520,44500
1856,COM452_264,329,41280,44560,273,41280,44568,0,384.9,53.9,605.501,456.3,31000,7900,L,CRJ1,LGA,OVR,TYS,-1,0,384.77,54.883,604.959,456.742,31000,7924,43820,-1,99900,n/a,ZID,44240,41380
1857,COM454_109,164,43880,45510,137,43872,45516,0,255.3,60.066,527.15,494.4,31000,7950,L,CRJ7,DCA,ARR,CVG,-1,0,254.683,61.039,526.935,494.575,31000,7965,45080,44130,31000,n/a,ZID,44910,44000
1858,COM458_120,285,59040,61880,235,59040,61884,0,256.633,176.4,617.499,334.801,27000,6100,L,CRJ1,BOS,DEP,RDU,-1,0,256.251,177.225,616.751,335.039,27000,6533,-1,60320,27000,n/a,ZDC,61280,59120
1859,COM459_251,243,63050,65470,202,63048,65472,0,320.767,71.834,607.7,520.333,38000,25550,L,CRJ7,CVG,OVR,EWR,-1,0,320.002,72.884,607.183,520.476,38000,25740,-1,64000,38000,n/a,ZNY,64870,63110
1860,COM464_894,104,85290,86320,88,85284,86328,0,262.833,143,576.6,556.4,27000,10100,L,CRJ1,BWI,ARR,CVG,-1,0,262.205,144.066,576.483,556.5,27000,10303,85530,-1,99900,n/a,ZOB,85720,85410
1861,COM466_821,196,40650,42600,161,40644,42600,0,408.3,241.6,579.3,528.096,17000,2950,L,CRJ1,JFK,DEP,IAD,-1,0,407.725,241.885,578.65,528.564,17000,3467,42390,41150,17000,n/a,ZDC,42000,41030
1862,COM469_720,210,3240,5330,175,3236,5336,0,258.7,54,522.7,501.55,34000,6766,L,CRJ2,JAN,DEP,DCA,-1,0,258.09,54.835,522.689,501.823,34000,7109,-1,5140,34000,n/a,ZDC,4730,3380
